anio,dias_con_datos,dias_primaverales
1920,366,42
1921,364,69
1922,139,4
1974,89,2
1975,365,70
1976,366,70
1977,365,81
1978,365,72
1979,365,59
1980,366,57
1981,365,61
1982,365,62
1983,365,47
1984,366,37
1985,365,70
1986,365,54
1987,365,61
1988,261,41
1989,305,64
1990,365,57
1991,365,34
1992,366,61
1993,365,59
1994,365,48
1995,365,97
1996,301,64
1997,235,67
1998,365,55
1999,365,54
2000,366,52
2001,365,56
2002,365,61
2003,365,47
2004,366,46
2005,365,54
2006,365,66
2007,365,76
2008,366,63
2009,335,53
2010,219,37
2011,365,73
2012,365,28
2013,365,54
2014,365,83
2015,365,67
2016,366,44
2017,363,67
2018,365,57
2019,365,61
2020,366,51
2021,363,67
2022,355,61
2023,341,57
2024,358,62
2025,267,27
2026,99,4
